Point ID,Date,Time,Easting ,Northing,Elevation,Accuracy (?),Accuracy (?)
TR0600152    ,26/10/2022,13:41:05,115467.243,558218.84699999995,-1.3120000000000001,0.01,0.01
TR0600153    ,26/10/2022,13:41:06,115467.98,558218.78000000003,-1.325,0.01,0.01
TR0500001    ,26/10/2022,14:02:14,115613.648,558656.22400000005,3.54,0.01,0.01
TR0500002    ,26/10/2022,14:02:16,115613.921,558656.03399999999,3.484,0.01,0.01
TR0500003    ,26/10/2022,14:02:17,115614.67600000001,558655.35199999996,3.3279999999999998,0.01,0.01
TR0500004    ,26/10/2022,14:02:17,115615.576,558654.56499999994,3.1970000000000001,0.01,0.01
TR0500005    ,26/10/2022,14:02:19,115616.541,558653.74300000002,3.056,0.01,0.01
TR0500006    ,26/10/2022,14:02:20,115617.588,558652.85800000001,2.9159999999999999,0.01,0.01
TR0500007    ,26/10/2022,14:02:21,115618.63800000001,558652.02800000005,2.8330000000000002,0.01,0.01
TR0500008    ,26/10/2022,14:02:22,115619.71799999999,558651.25399999996,2.7490000000000001,0.01,0.01
TR0500009    ,26/10/2022,14:02:23,115620.826,558650.48100000003,2.6269999999999998,0.01,0.01
TR0500010    ,26/10/2022,14:02:24,115621.94,558649.64800000004,2.5249999999999999,0.01,0.01
TR0500011    ,26/10/2022,14:02:25,115623.174,558648.77500000002,2.5830000000000002,0.01,0.01
TR0500012    ,26/10/2022,14:02:26,115624.255,558647.96299999999,2.4540000000000002,0.01,0.01
TR0500013    ,26/10/2022,14:02:27,115625.268,558647.13300000003,2.3700000000000001,0.01,0.01
TR0500014    ,26/10/2022,14:02:28,115626.406,558646.31999999995,2.2320000000000002,0.01,0.01
TR0500015    ,26/10/2022,14:02:29,115627.571,558645.43000000005,2.1040000000000001,0.01,0.01
TR0500016    ,26/10/2022,14:02:30,115628.74400000001,558644.549,2.0169999999999999,0.01,0.01
TR0500017    ,26/10/2022,14:02:31,115629.855,558643.66899999999,1.9370000000000001,0.01,0.01
TR0500018    ,26/10/2022,14:02:32,115631.06299999999,558642.81200000003,1.8720000000000001,0.01,0.01
TR0500019    ,26/10/2022,14:02:33,115632.148,558642.01300000004,1.8089999999999999,0.01,0.01
TR0500020    ,26/10/2022,14:02:33,115633.27099999999,558641.12800000003,1.734,0.01,0.01
TR0500021    ,26/10/2022,14:02:35,115634.33199999999,558640.28599999996,1.675,0.01,0.01
TR0500022    ,26/10/2022,14:02:36,115635.416,558639.46299999999,1.6359999999999999,0.01,0.01
TR0500023    ,26/10/2022,14:02:36,115636.48,558638.55200000003,1.744,0.01,0.01
TR0500024    ,26/10/2022,14:02:38,115637.409,558637.74199999997,1.7050000000000001,0.01,0.01
TR0500025    ,26/10/2022,14:02:39,115638.48299999999,558636.89899999998,1.661,0.01,0.01
TR0500026    ,26/10/2022,14:02:39,115639.55899999999,558635.99899999995,1.5840000000000001,0.01,0.01
TR0500027    ,26/10/2022,14:02:41,115640.641,558635.09100000001,1.5089999999999999,0.01,0.01
TR0500028    ,26/10/2022,14:02:42,115641.689,558634.17000000004,1.4450000000000001,0.01,0.01
TR0500029    ,26/10/2022,14:02:43,115642.772,558633.28200000001,1.3720000000000001,0.01,0.01
TR0500030    ,26/10/2022,14:02:44,115643.87699999999,558632.37600000005,1.286,0.01,0.01
TR0500031    ,26/10/2022,14:02:45,115644.951,558631.45600000001,1.1990000000000001,0.01,0.01
TR0500032    ,26/10/2022,14:02:46,115646.01700000001,558630.44700000004,1.1040000000000001,0.01,0.01
TR0500033    ,26/10/2022,14:02:47,115647.14200000001,558629.46400000004,1.026,0.01,0.01
TR0500034    ,26/10/2022,14:02:48,115648.33500000001,558628.55000000005,0.97599999999999998,0.01,0.01
TR0500035    ,26/10/2022,14:02:49,115649.39599999999,558627.62899999996,0.94799999999999995,0.01,0.01
TR0500036    ,26/10/2022,14:02:50,115650.452,558626.75399999996,0.95099999999999996,0.01,0.01
TR0500037    ,26/10/2022,14:02:51,115651.485,558625.86600000004,0.89200000000000002,0.01,0.01
TR0500038    ,26/10/2022,14:02:52,115652.552,558625.04500000004,0.76800000000000002,0.01,0.01
TR0500039    ,26/10/2022,14:02:54,115654.61,558623.18999999994,0.47799999999999998,0.01,0.01
TR0500040    ,26/10/2022,14:02:55,115655.719,558622.28899999999,0.32100000000000001,0.01,0.01
TR0500041    ,26/10/2022,14:02:55,115656.784,558621.36600000004,0.17000000000000001,0.01,0.01
TR0500042    ,26/10/2022,14:02:57,115657.83199999999,558620.46299999999,0.025000000000000001,0.01,0.01
TR0500043    ,26/10/2022,14:02:58,115658.876,558619.56799999997,-0.13,0.01,0.01
TR0500044    ,26/10/2022,14:02:58,115659.849,558618.63100000005,-0.28599999999999998,0.01,0.01
TR0500045    ,26/10/2022,14:02:60,115660.893,558617.69799999997,-0.44900000000000001,0.01,0.01
TR0500046    ,26/10/2022,14:03:01,115661.94899999999,558616.72699999996,-0.61499999999999999,0.01,0.01
TR0500047    ,26/10/2022,14:03:02,115662.976,558615.87800000003,-0.747,0.01,0.01
TR0500048    ,26/10/2022,14:03:03,115663.76700000001,558615.179,-0.77800000000000002,0.01,0.01
