x,y
116592.172,559345.5076
116641.9854,559383.4683
116687.2291,559429.5039
116736.7878,559468.1901
116787.0127,559509.5347
116837.0965,559549.656
116890.6454,559587.5002
116943.5348,559623.5038
116993.5113,559665.3452
117042.9159,559707.4573
117093.2651,559750.7755
117142.5015,559793.9914
117191.3083,559837.359
117241.0488,559882.0242
117291.0272,559927.4672
117340.526,559972.9514
117390.0471,560018.8877
115190.6609,558036.7354
115240.6754,558110.3099
115290.5113,558179.9631
115340.3535,558246.158
115390.9617,558310.0922
115440.8963,558370.1949
115491.0341,558427.7495
115541.5627,558483.1342
115633.5206,558593.3198
115683.9815,558642.1048
115734.0618,558688.7109
115784.5056,558734.0234
115842.4531,558769.9338
115892.7024,558812.3274
115942.5675,558853.2993
115992.9434,558893.691
116042.6954,558932.7863
116093.2482,558971.7772
116142.9421,559009.5941
116193.353,559047.4763
116243.0248,559084.5272
116292.6775,559121.3372
116343.2239,559158.6952
116393.0481,559195.5235
116442.8243,559232.3906
116492.9323,559269.6618
116542.5554,559306.8047
116592.7741,559344.7092
116642.6019,559382.681
116687.7925,559428.6778
116737.3852,559467.3882
116787.5753,559508.708
116837.6527,559548.8249
116891.1468,559586.635
116944.0321,559622.6362
116994.0104,559664.4787
117043.4608,559706.6188
117093.7831,559749.9201
117143.0783,559793.1745
117191.9769,559836.6154
117241.7374,559881.299
117291.7174,559926.7435
117341.2548,559972.2666
117390.8127,560018.2444
115191.4392,558036.1074
115241.4525,558109.6804
115291.302,558179.351
115341.1574,558245.5632
115391.7149,558309.4343
115441.6549,558369.5434
115491.7812,558427.0849
115542.2658,558482.4231
115634.249,558592.6347
115684.6715,558641.381
115734.7452,558687.9808
115785.1519,558733.2603
115843.082,558769.1563
115893.3105,558811.5336
115943.1869,558852.5142
115993.5315,558892.8822
116043.3041,558931.9929
116093.8108,558970.9505
116143.5303,559008.7853
116193.9069,559046.6437
116243.6061,559083.7135
116293.2877,559120.5449
116343.7885,559157.8699
116393.6274,559194.7084
116443.4223,559231.5891
116493.5213,559268.8536
116543.1758,559306.0204
116593.3763,559343.9109
116643.2184,559381.8936
116688.3559,559427.8516
116737.9825,559466.5862
116788.1379,559507.8812
116891.6482,559585.7697
116944.5295,559621.7686
116994.5095,559663.6122
117044.0058,559705.7803
117094.3012,559749.0648
117143.6551,559792.3576
117192.6455,559835.8718
117242.4259,559880.5738
117292.4076,559926.0199
117341.9835,559971.5819
117391.5783,560017.6011
115192.2174,558035.4795
115242.2295,558109.051
115292.0927,558178.7388
115341.9613,558244.9684
115392.4681,558308.7765
115442.4136,558368.8918
115492.5284,558426.4202
115634.9775,558591.9496
115685.3615,558640.6572
115735.4285,558687.2507
115785.7983,558732.4973
115843.7109,558768.3788
115893.9187,558810.7398
115943.8062,558851.7291
115994.1195,558892.0734
116043.9128,558931.1995
116094.3735,558970.1238
116144.1184,559007.9766
116194.4608,559045.8111
116244.1873,559082.8997
116293.8979,559119.7527
116344.3532,559157.0446
116394.2067,559193.8933
116444.0203,559230.7876
116494.1102,559268.0455
116543.7962,559305.2361
116593.9784,559343.1125
116643.8349,559381.1063
116688.9193,559427.0254
116738.5799,559465.7842
116788.7005,559507.0545
